Trace1,
Freq,,Amp,,
          2750000000,Hz,               -6.25, dBm,
          2750333333,Hz,               -6.23, dBm,
          2750666666,Hz,               -6.22, dBm,
          2750999999,Hz,               -6.20, dBm,
          2751333332,Hz,               -6.18, dBm,
          2751666665,Hz,               -6.16, dBm,
          2751999998,Hz,               -6.15, dBm,
          2752333331,Hz,               -6.13, dBm,
          2752666664,Hz,               -6.13, dBm,
          2752999997,Hz,               -6.10, dBm,
          2753333330,Hz,               -6.10, dBm,
          2753666663,Hz,               -6.09, dBm,
          2753999996,Hz,               -6.07, dBm,
          2754333329,Hz,               -6.06, dBm,
          2754666662,Hz,               -6.05, dBm,
          2754999995,Hz,               -6.05, dBm,
          2755333328,Hz,               -6.03, dBm,
          2755666661,Hz,               -6.03, dBm,
          2755999994,Hz,               -6.03, dBm,
          2756333327,Hz,               -6.03, dBm,
          2756666660,Hz,               -6.02, dBm,
          2756999993,Hz,               -6.02, dBm,
          2757333326,Hz,               -6.02, dBm,
          2757666659,Hz,               -6.02, dBm,
          2757999992,Hz,               -6.02, dBm,
          2758333325,Hz,               -6.03, dBm,
          2758666658,Hz,               -6.04, dBm,
          2758999991,Hz,               -6.04, dBm,
          2759333324,Hz,               -6.05, dBm,
          2759666657,Hz,               -6.06, dBm,
          2759999990,Hz,               -6.06, dBm,
          2760333323,Hz,               -6.09, dBm,
          2760666656,Hz,               -6.09, dBm,
          2760999989,Hz,               -6.11, dBm,
          2761333322,Hz,               -6.12, dBm,
          2761666655,Hz,               -6.14, dBm,
          2761999988,Hz,               -6.14, dBm,
          2762333321,Hz,               -6.18, dBm,
          2762666654,Hz,               -6.19, dBm,
          2762999987,Hz,               -6.21, dBm,
          2763333320,Hz,               -6.24, dBm,
          2763666653,Hz,               -6.26, dBm,
          2763999986,Hz,               -6.28, dBm,
          2764333319,Hz,               -6.30, dBm,
          2764666652,Hz,               -6.33, dBm,
          2764999985,Hz,               -6.35, dBm,
          2765333318,Hz,               -6.38, dBm,
          2765666651,Hz,               -6.40, dBm,
          2765999984,Hz,               -6.43, dBm,
          2766333317,Hz,               -6.45, dBm,
          2766666650,Hz,               -6.48, dBm,
          2766999983,Hz,               -6.50, dBm,
          2767333316,Hz,               -6.53, dBm,
          2767666649,Hz,               -6.55, dBm,
          2767999982,Hz,               -6.57, dBm,
          2768333315,Hz,               -6.61, dBm,
          2768666648,Hz,               -6.64, dBm,
          2768999981,Hz,               -6.65, dBm,
          2769333314,Hz,               -6.68, dBm,
          2769666647,Hz,               -6.70, dBm,
          2769999980,Hz,               -6.72, dBm,
          2770333313,Hz,               -6.75, dBm,
          2770666646,Hz,               -6.77, dBm,
          2770999979,Hz,               -6.79, dBm,
          2771333312,Hz,               -6.81, dBm,
          2771666645,Hz,               -6.84, dBm,
          2771999978,Hz,               -6.86, dBm,
          2772333311,Hz,               -6.88, dBm,
          2772666644,Hz,               -6.89, dBm,
          2772999977,Hz,               -6.91, dBm,
          2773333310,Hz,               -6.92, dBm,
          2773666643,Hz,               -6.95, dBm,
          2773999976,Hz,               -6.96, dBm,
          2774333309,Hz,               -6.98, dBm,
          2774666642,Hz,               -6.99, dBm,
          2774999975,Hz,               -7.00, dBm,
          2775333308,Hz,               -7.01, dBm,
          2775666641,Hz,               -7.02, dBm,
          2775999974,Hz,               -7.02, dBm,
          2776333307,Hz,               -7.04, dBm,
          2776666640,Hz,               -7.05, dBm,
          2776999973,Hz,               -7.05, dBm,
          2777333306,Hz,               -7.07, dBm,
          2777666639,Hz,               -7.07, dBm,
          2777999972,Hz,               -7.06, dBm,
