time,ch1m1,ch2m1,ch3m1,ch1m2,ch2m2,ch3m2,ch1m3,ch2m3,ch3m3,ch1m4,ch2m4,ch3m4,ch1m5,ch2m5,ch3m5,ch1m6,ch2m6,ch3m6,ch1m7,ch2m7,ch3m7,ch1m8,ch2m8,ch3m8,ch1m9,ch2m9,ch3m9,ch1m10,ch2m10,ch3m10,ch1m11,ch2m11,ch3m11,ch1m12,ch2m12,ch3m12,ch1m13,ch2m13,ch3m13,ch1m14,ch2m14,ch3m14,ch1m15,ch2m15,ch3m15,ch1m16,ch2m16,ch3m16,ch1m17,ch2m17,ch3m17,ch1m18,ch2m18,ch3m18,ch1m19,ch2m19,ch3m19,ch1m20,ch2m20,ch3m20
-0.17800000000000005,0.058,0.08,-5.08,0.058,0.08,-5.08,0.06,0.08,-5.08,0.056,0.08,-5.08,0.06,0.08,-5.08,0.058,0.08,-5.08,0.058,0.08,-5.08,0.058,0.08,-5.08,0.058,0.08,-5.08,0.058,0.08,-5.08,0.06,0.08,-5.08,0.056,0.08,-5.08,0.06,0.08,-5.08,0.06,0.08,-5.08,0.058,0.08,-5.08,0.062,0.08,-5.08,0.06,0.08,-5.08,0.058,0.08,-5.08,0.062,0.08,-5.08,0.058,0.08,-5.08
-0.17749958298582155,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.054,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08
-0.17699916597164309,0.056,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.058,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08,0.058,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08,0.06,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.06,0.24,-5.08,0.06,0.24,-5.08,0.056,0.24,-5.08,0.06,0.24,-5.08,0.056,0.24,-5.08
-0.1764987489574646,0.052000000000000005,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.058,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.054,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.058,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.056,0.08,-5.08,0.056,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.056,0.08,-5.08,0.052000000000000005,0.08,-5.08
-0.17599833194328612,0.056,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.058,0.24,-5.08,0.054,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08,0.056,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08
-0.17549791492910763,0.05,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.06,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.05,0.08,-5.08
-0.17499749791492916,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.054,0.24,-5.08,0.056,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.058,0.24,-5.08,0.056,0.24,-5.08,0.05,0.24,-5.08,0.058,0.24,-5.08,0.058,0.24,-5.08,0.054,0.24,-5.08,0.058,0.24,-5.08,0.054,0.24,-5.08
-0.17449708090075067,0.05,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.048,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.05,0.08,-5.08,0.048,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.048,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.054,0.08,-5.08,0.05,0.08,-5.08,0.054,0.08,-5.08,0.048,0.08,-5.08
-0.1739966638865722,0.052000000000000005,0.08,-5.08,0.054,0.08,-5.08,0.054,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.054,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.054,0.08,-5.08,0.054,0.08,-5.08,0.048,0.08,-5.08,0.054,0.08,-5.08,0.05,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.056,0.08,-5.08,0.054,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.056,0.08,-5.08,0.056,0.08,-5.08,0.052000000000000005,0.08,-5.08,0.056,0.08,-5.08,0.052000000000000005,0.08,-5.08
-0.1734962468723937,0.048,0.24,-5.08,0.048,0.24,-5.08,0.05,0.24,-5.08,0.046,0.24,-5.08,0.05,0.24,-5.08,0.048,0.24,-5.08,0.048,0.24,-5.08,0.048,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.05,0.24,-5.08,0.054,0.24,-5.08,0.048,0.24,-5.08,0.05,0.24,-5.08,0.05,0.24,-5.08,0.048,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.048,0.24,-5.08,0.052000000000000005,0.24,-5.08,0.048,0.24,-5.08
